,Species Name,Common Name,Type,Location(s),Estimated Population,Threats
0,Abies beshanzuensis,Baishan fir,Plant (Tree),"Baishanzu Mountain, Zhejiang, China",5 mature individuals,"Agriculture, fire"
1,Actinote zikani,-,Insect,"Near São Paulo, Atlantic forest, Brazil",Unknown,Habitat loss from human expansion
2,Aipysurus foliosquama,Leaf scaled sea-snake,Reptile,"Ashmore Reef and Hibernia Reef, Timor Sea",Unknown,Unknown—probably degradation of coral reef habitat
3,Amanipodagrion gilliesi,Amani flatwing,Insect,"Amani-Sigi Forest, Usambara Mountains, Tanzania",< 500 individuals,"Population pressure, water pollution"
4,Antisolabis seychellensis,-,Insect,"Morne Blanc, Mahé island, Seychelles",Unknown,"Invasive species, climate change"
5,Antilophia bokermanni,Araripe manakin,Bird,"Chapado do Araripe, South Ceará, Brazil",779 individuals,"Recreational facilities, water diversion"
6,Aphanius transgrediens,Aci Gö toothcarp,Fish,"South-eastern shore of former Lake Aci, Turkey",Few hundred pairs,"Competition, predation by Gambusia, road construction"
7,Aproteles bulmerae,Bulmer's fruit bat,Mammal,"Luplupwintern Cave, Western Province, Papua NG",150 individuals,"Hunting, cave disturbance"
8,Ardea insignis,White bellied heron,Bird,"Bhutan, North East India, Myanmar",70–400 individuals,Hydropower development
